id,title,release_date,year,runtime,genres,rated,country,actors,director,writers,awards,box_office,ratings
tt0058994,Bruce's Fingers,N/A,1976,91,"Action,Crime,Drama",R,Hong Kong,"Bruce Le, Michael Wai-Man Chan, Nora Miao, Lieh Lo",Joseph Kong,Joseph Kong (screenplay),N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]"
tt0059680,Satan's Harvest,04 Jun 1970,1970,88,Action,Not Rated,South Africa,"George Montgomery, Tippi Hedren, Matt Monro, Davy Kaye",George Montgomery,George Montgomery,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}]"
tt0060462,The Girls from Thunder Strip,11 Feb 1972,1970,80,"Action,Drama",Not Rated,USA,"Jody McCrea, Maray Ayres, Mick Mehas, Casey Kasem",David L. Hewitt,"Pat Boyette (screenplay), David L. Hewitt (screenplay), Pat Boyette (original story)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]"
tt0060939,Santo vs. the Head Hunters,02 Dec 1971,1971,80,"Action,Adventure,Drama",N/A,Mexico,"Santo, Nadia Milton, Freddy Fernández, René Cardona",René Cardona,"René Cardona, Adolfo Torres Portillo",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]"
tt0060951,A Scream in the Streets,01 Nov 1973,1973,96,"Action,Crime",Not Rated,USA,"Joshua Bryant, Frank Bannon, Rosie Stone, Linda York","Carl Monson, Dwayne Avery, Bethel Buckalew, Harry H. Novak",Eric Norden,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]"
tt0062936,Enter the Game of Death,01 Feb 1980,1978,90,"Action,Drama",Not Rated,"Hong Kong, USA","Bruce Le, Bolo Yeung, Chi Ling Chiu, Michael B. Christy","Kuo-Hsiang Lin, Joseph Velasco",Kwon Yong,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]"
tt0063018,Iron Dragon Strikes Back,29 May 1979,1979,99,"Action,Drama",R,Hong Kong,"Bruce Li, Kwok Choi Hon, Phillip Ko, Lieh Wei",Chih-Hung Kuei,On Szeto (screenplay),N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]"
tt0063066,Hibotan bakuto: Oryû sanjô,05 Mar 1970,1970,100,"Action,Crime",N/A,Japan,"Tôru Abe, Bin Amatsu, Kanjûrô Arashi, Mikiko Asamatsu",Tai Katô,"Tai Katô, Norifumi Suzuki",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]"
tt0063137,The Invincible Six,13 Nov 1970,1970,103,"Action,Adventure",N/A,"Iran, USA","Stuart Whitman, Elke Sommer, Curd Jürgens, Ian Ogilvy",Jean Negulesco,"Michael Barrett (novel), Guy Elmes (screenplay), Chester Erskine (adaptation)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]"
tt0063353,Nihon jokyo-den: tekka geisha,N/A,1970,100,"Action,Crime",N/A,Japan,"Junko Fuji, Bunta Sugawara, Keiko Yumi, Junzaburô Ban",Kôsaku Yamashita,Kazuo Kasahara,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]"
